NAME_city,NAME_county,F1_city,F1_county,F2_city,F2_county,F3_city,F3_county,F4_city,F4_county,F5_city,F5_county
广州市,,1773914,,5802,,13273042,,31022573,,11258940,
,Tianhe,,1162531,,2246,,8427302,,12754954,,7464208
,Huadu,,142082,,1016,,517130,,3852016,,1246085
,Panyu,,115374,,965,,1307710,,2675170,,772969
,Nansha,,217499,,578,,2238892,,3180473,,643373
,Conghua,,54891,,243,,212175,,1026861,,379099
,Zengcheng,,81537,,754,,569833,,7533099,,753206
深圳市,,1960754,,10320,,25118181,,30416518,,12805892,
,Futian,,275830,,150,,613732,,2588826,,2196447
,Shenzhen,,1568154,,6478,,20876858,,23755260,,7783075
,Baoan,,116770,,3692,,3627591,,4072432,,2826370
珠海市,,507444.55,,1388,,4511839.7,,8933618,,1611702,
,Xiangzhou,,422961,,609,,2922135.4,,5814795,,1067623
,Doumen,,84484,,264,,179953.3,,1379493,,227719
汕头市,,383463.694,,1972,,2384979,,3406530,,2484863,
,Chenghai,,58887,,415,,255978,,300305,,470056
,Haojiang,,263115.427,,659,,667924,,2550878,,917355
,Chaoyang,,27994,,424,,948228,,320821,,602578
,Chaonan,,33467.306,,474,,512849,,234526,,494874
佛山市,,777113.731,,7902,,17952418.2,,21468447,,5314347,
,Chancheng,,160529,,598,,704664.7,,3887946,,989782
,Nanhai,,107017,,3325,,5342299.9,,6743333,,1847931
,Shunde,,128400,,2427,,6432385.3,,5600128,,1708661
,Gaoming,,195313,,555,,3340888.8,,1976303,,273706
,Sanshui,,185855,,997,,2132179.5,,3260737,,494267
韶关市,,440527.614,,475,,692373.7,,1956932,,1338188,
,Zhenjiang,,44808.026,,51,,37075.5,,214032,,167246
,Wujiang,,83420.487,,64,,95043,,744572,,170099
,Qujiang,,62416,,59,,247980.8,,84724,,128664
,Lechang,,27796,,41,,3546.9,,205167,,174922
,Nanxiong,,33641,,53,,23960,,173827,,164654
,Renhua,,44045,,35,,104562.8,,118318,,95013
,Shixing,,35409,,34,,16121.9,,79853,,106623
,Wengyuan,,27615,,55,,27028.1,,189526,,149215
,Xinfeng,,31518,,27,,42531.4,,103921,,84991
,Ruyuan,,49858,,56,,94523.3,,42992,,96761
河源市,,212406.207,,567,,633892,,2588277,,1420203,
,Yuancheng,,81174,,201,,289255,,1119277,,298864
,Dongyuan,,33462,,99,,53340,,388962,,219309
,Heping,,30793,,70,,101781,,168507,,171170
